,wind_code,sec_name,ar_by_buyer_name,ar_buyer_standard,ar_buyer_subid,cus_name,cus_name_standard,cus_name_subid,ar_buyer_region,cus_region,match_score
430,000004.SZ,国华网安,福建乐游网络科技有限公司,福建乐游网络科技有限公司,29,福建乐游网络科技有限公司,福建乐游网络科技有限公司,11,福建,福建,100
446,000004.SZ,国华网安,福建众邦药业有限公司,福建众邦药业有限公司,30,福建众邦药业有限公司,福建众邦药业有限公司,12,福建,福建,100
462,000004.SZ,国华网安,福建摩格网络科技有限公司,福建摩格网络科技有限公司,31,福建摩格网络科技有限公司,福建摩格网络科技有限公司,13,福建,福建,100
599,000006.SZ,深振业A,深圳市前海同创汇产业运营管理有限公司,深圳市前海同创汇产业运营管理有限公司,7,深圳市前海同创汇产业运营管理有限公司,深圳市前海同创汇产业运营管理有限公司,6,深圳,深圳,100
619,000006.SZ,深振业A,深圳市南山区建筑工务署,深圳市南山区建筑工务署,9,深圳市南山区建筑工务署,深圳市南山区建筑工务署,8,深圳,深圳,100
1484,000007.SZ,全新好,深圳市正和丰实业有限公司,深圳市正和丰实业有限公司,45,深圳市正和丰实业有限公司,深圳市正和丰实业有限公司,8,深圳,深圳,100
1523,000007.SZ,全新好,深圳粤新商业管理有限公司,深圳粤新商业管理有限公司,47,深圳粤新商业管理有限公司,深圳粤新商业管理有限公司,13,深圳,深圳,100
2276,000010.SZ,美丽生态,山西鼎盛伟业建设工程有限公司,山西鼎盛伟业建设工程有限公司,18,山西鼎盛伟业建设工程有限公司,山西鼎盛伟业建设工程有限公司,18,山西,山西,100
2467,000010.SZ,美丽生态,江苏水北建设工程有限公司,江苏水北建设工程有限公司,25,江苏水北建设工程有限公司,江苏水北建设工程有限公司,20,江苏,江苏,100
2634,000010.SZ,美丽生态,贵阳观山湖投资(集团)产业发展有限公司,贵阳观山湖投资(集团)产业发展有限公司,31,贵阳观山湖投资(集团)产业发展有限公司,贵阳观山湖投资(集团)产业发展有限公司,25,贵阳,贵阳,100
2771,000010.SZ,美丽生态,镇江交通产业集团有限公司,镇江交通产业集团有限公司,36,镇江交通产业集团有限公司,镇江交通产业集团有限公司,27,镇江,镇江,100
3049,000011.SZ,深物业A,深圳市福田区政府物业管理中心,深圳市福田区政府物业管理中心,16,深圳市福田区政府物业管理中心,深圳市福田区政府物业管理中心,5,深圳,深圳,100
3094,000011.SZ,深物业A,深圳湾科技发展有限公司,深圳湾科技发展有限公司,20,深圳湾科技发展有限公司,深圳湾科技发展有限公司,6,深圳,深圳,100
3467,000017.SZ,深中华A,济南禹欣泰销售有限责任公司,济南禹欣泰销售有限责任公司,6,济南禹欣泰销售有限责任公司,济南禹欣泰销售有限责任公司,1,济南,济南,100
3476,000017.SZ,深中华A,深圳市加浩松科技有限公司,深圳市加浩松科技有限公司,8,深圳市加浩松科技有限公司,深圳市加浩松科技有限公司,2,深圳,深圳,100
3485,000017.SZ,深中华A,深圳市博亿能科技有限公司,深圳市博亿能科技有限公司,10,深圳市博亿能科技有限公司,深圳市博亿能科技有限公司,3,深圳,深圳,100
