,wind_code,sec_name,ar_by_buyer_name,ar_buyer_standard,ar_buyer_subid,cus_name,cus_name_standard,cus_name_subid,ar_buyer_region,cus_region,match_score
430,000004.SZ,国华网安,福建乐游网络科技有限公司,福建乐游网络科技有限公司,29,福建乐游网络科技有限公司,福建乐游网络科技有限公司,11,福建,福建,100
446,000004.SZ,国华网安,福建众邦药业有限公司,福建众邦药业有限公司,30,福建众邦药业有限公司,福建众邦药业有限公司,12,福建,福建,100
462,000004.SZ,国华网安,福建摩格网络科技有限公司,福建摩格网络科技有限公司,31,福建摩格网络科技有限公司,福建摩格网络科技有限公司,13,福建,福建,100
551,000006.SZ,深振业A,天虹商场股份有限公司,天虹商场股份有限公司,2,天虹商场股份有限公司,天虹商场股份有限公司,3,,,100
599,000006.SZ,深振业A,深圳市前海同创汇产业运营管理有限公司,深圳市前海同创汇产业运营管理有限公司,7,深圳市前海同创汇产业运营管理有限公司,深圳市前海同创汇产业运营管理有限公司,6,深圳,深圳,100
619,000006.SZ,深振业A,深圳市南山区建筑工务署,深圳市南山区建筑工务署,9,深圳市南山区建筑工务署,深圳市南山区建筑工务署,8,深圳,深圳,100
814,000007.SZ,全新好,MAPLEPACKINGINDUSTRIAL(H.K.)LIMITED,MAPLEPACKINGINDUSTRIAL(H.K.)LIMITED,6,MAPLEPACKINGINDUSTRIAL(H.K.)LIMITED,MAPLEPACKINGINDUSTRIAL(H.K.)LIMITED,1,,,100
917,000007.SZ,全新好,WANDEINDUSTRIAL(HK)LIMITED,WANDEINDUSTRIAL(HK)LIMITED,12,WANDEINDUSTRIAL(HK)LIMITED,WANDEINDUSTRIAL(HK)LIMITED,2,,,100
1484,000007.SZ,全新好,深圳市正和丰实业有限公司,深圳市正和丰实业有限公司,45,深圳市正和丰实业有限公司,深圳市正和丰实业有限公司,8,深圳,深圳,100
1523,000007.SZ,全新好,深圳粤新商业管理有限公司,深圳粤新商业管理有限公司,47,深圳粤新商业管理有限公司,深圳粤新商业管理有限公司,13,深圳,深圳,100
1712,000007.SZ,全新好,金佳业酒店管理公司,金佳业酒店管理公司,58,金佳业酒店管理公司,金佳业酒店管理公司,15,,,100
1799,000007.SZ,全新好,龙腾世纪广告发展有限公司,龙腾世纪广告发展有限公司,63,龙腾世纪广告发展有限公司,龙腾世纪广告发展有限公司,17,,,100
1940,000010.SZ,美丽生态,义乌市城市投资建设集团有限公司,义乌市城市投资建设集团有限公司,6,义乌市城市投资建设集团有限公司,义乌市城市投资建设集团有限公司,6,,,100
1997,000010.SZ,美丽生态,五矿二十三冶建设集团有限公司,五矿二十三冶建设集团有限公司,8,五矿二十三冶建设集团有限公司,五矿二十三冶建设集团有限公司,9,,,100
2276,000010.SZ,美丽生态,山西鼎盛伟业建设工程有限公司,山西鼎盛伟业建设工程有限公司,18,山西鼎盛伟业建设工程有限公司,山西鼎盛伟业建设工程有限公司,18,山西,山西,100
2412,000010.SZ,美丽生态,正平路桥建设股份有限公司,正平路桥建设股份有限公司,23,正平路桥建设股份有限公司,正平路桥建设股份有限公司,19,,,100
